Points;Place;Candidate;Vote;Country;Name;Sex;Type
5;First;Sadio Mané;Captain;Sudan;Akram Alhadi;Men's;Player
3;Second;Thiago Alcântara;Captain;Sudan;Akram Alhadi;Men's;Player
1;Third;Cristiano Ronaldo;Captain;Sudan;Akram Alhadi;Men's;Player
5;First;Virgil van Dijk;Captain;Suriname;Claidel Kohinor Rivano Furgill Suriname;Men's;Player
3;Second;Thiago Alcântara;Captain;Suriname;Claidel Kohinor Rivano Furgill Suriname;Men's;Player
1;Third;Lionel Messi;Captain;Suriname;Claidel Kohinor Rivano Furgill Suriname;Men's;Player
5;First;Robert Lewandowski;Captain;Sweden;Markus Berg;Men's;Player
3;Second;Cristiano Ronaldo;Captain;Sweden;Markus Berg;Men's;Player
1;Third;Kevin De Bruyne;Captain;Sweden;Markus Berg;Men's;Player
5;First;Robert Lewandowski;Captain;Switzerland;Granit Xhaka;Men's;Player
3;Second;Cristiano Ronaldo;Captain;Switzerland;Granit Xhaka;Men's;Player
1;Third;Mohamed Salah;Captain;Switzerland;Granit Xhaka;Men's;Player
5;First;Mohamed Salah;Captain;Syria;Omar Alsomah;Men's;Player
3;Second;Cristiano Ronaldo;Captain;Syria;Omar Alsomah;Men's;Player
1;Third;Kylian Mbappé;Captain;Syria;Omar Alsomah;Men's;Player
5;First;Lionel Messi;Captain;Tahiti;Teaonui Tehau;Men's;Player
3;Second;Robert Lewandowski;Captain;Tahiti;Teaonui Tehau;Men's;Player
1;Third;Kylian Mbappé;Captain;Tahiti;Teaonui Tehau;Men's;Player
5;First;Robert Lewandowski;Captain;Tajikistan;Akhtam Nazarov;Men's;Player
3;Second;Cristiano Ronaldo;Captain;Tajikistan;Akhtam Nazarov;Men's;Player
1;Third;Lionel Messi;Captain;Tajikistan;Akhtam Nazarov;Men's;Player
5;First;Robert Lewandowski;Captain;Tanzania;Mbwana Samatta;Men's;Player
3;Second;Sadio Mané;Captain;Tanzania;Mbwana Samatta;Men's;Player
1;Third;Cristiano Ronaldo;Captain;Tanzania;Mbwana Samatta;Men's;Player
5;First;Robert Lewandowski;Captain;Thailand;Manuel Tom Bihr;Men's;Player
3;Second;Cristiano Ronaldo;Captain;Thailand;Manuel Tom Bihr;Men's;Player
1;Third;Sadio Mané;Captain;Thailand;Manuel Tom Bihr;Men's;Player
5;First;Lionel Messi;Captain;Timor-Leste;Joao Pedro Da Silva Freitas;Men's;Player
3;Second;Robert Lewandowski;Captain;Timor-Leste;Joao Pedro Da Silva Freitas;Men's;Player
1;Third;Thiago Alcântara;Captain;Timor-Leste;Joao Pedro Da Silva Freitas;Men's;Player
5;First;Sadio Mané;Captain;Togo;Dakonam Ortega Djene;Men's;Player
3;Second;Robert Lewandowski;Captain;Togo;Dakonam Ortega Djene;Men's;Player
1;Third;Mohamed Salah;Captain;Togo;Dakonam Ortega Djene;Men's;Player
5;First;Cristiano Ronaldo;Captain;Tonga;Sione Ongo I Vaha Uhatahi;Men's;Player
3;Second;Virgil van Dijk;Captain;Tonga;Sione Ongo I Vaha Uhatahi;Men's;Player
1;Third;Sadio Mané;Captain;Tonga;Sione Ongo I Vaha Uhatahi;Men's;Player
5;First;Robert Lewandowski;Captain;Trinidad and Tobago;Khaleem Hyland;Men's;Player
3;Second;Thiago Alcântara;Captain;Trinidad and Tobago;Khaleem Hyland;Men's;Player
1;Third;Cristiano Ronaldo;Captain;Trinidad and Tobago;Khaleem Hyland;Men's;Player
5;First;Mohamed Salah;Captain;Tunisia;Youssef Msakni;Men's;Player
3;Second;Lionel Messi;Captain;Tunisia;Youssef Msakni;Men's;Player
1;Third;Cristiano Ronaldo;Captain;Tunisia;Youssef Msakni;Men's;Player
5;First;Robert Lewandowski;Captain;Turkey;Burak Yilmaz;Men's;Player
3;Second;Cristiano Ronaldo;Captain;Turkey;Burak Yilmaz;Men's;Player
1;Third;Virgil van Dijk;Captain;Turkey;Burak Yilmaz;Men's;Player
5;First;Lionel Messi;Captain;Turkmenistan;Arslan Amanov;Men's;Player
3;Second;Robert Lewandowski;Captain;Turkmenistan;Arslan Amanov;Men's;Player
1;Third;Cristiano Ronaldo;Captain;Turkmenistan;Arslan Amanov;Men's;Player
5;First;Cristiano Ronaldo;Captain;Turks and Caicos Islands;Billy Forbes;Men's;Player
3;Second;Robert Lewandowski;Captain;Turks and Caicos Islands;Billy Forbes;Men's;Player
1;Third;Lionel Messi;Captain;Turks and Caicos Islands;Billy Forbes;Men's;Player
5;First;Mohamed Salah;Captain;Uganda;Denis Onyango;Men's;Player
3;Second;Sadio Mané;Captain;Uganda;Denis Onyango;Men's;Player
1;Third;Robert Lewandowski;Captain;Uganda;Denis Onyango;Men's;Player
5;First;Robert Lewandowski;Captain;Ukraine;Andriy Pyatov;Men's;Player
3;Second;Kevin De Bruyne;Captain;Ukraine;Andriy Pyatov;Men's;Player
1;Third;Virgil van Dijk;Captain;Ukraine;Andriy Pyatov;Men's;Player
5;First;Cristiano Ronaldo;Captain;United Arab Emirates;Ali Alhosani;Men's;Player
3;Second;Robert Lewandowski;Captain;United Arab Emirates;Ali Alhosani;Men's;Player
1;Third;Mohamed Salah;Captain;United Arab Emirates;Ali Alhosani;Men's;Player
5;First;Lionel Messi;Captain;Uruguay;Diego Roberto Godin Leal;Men's;Player
3;Second;Robert Lewandowski;Captain;Uruguay;Diego Roberto Godin Leal;Men's;Player
1;Third;Neymar;Captain;Uruguay;Diego Roberto Godin Leal;Men's;Player
5;First;Robert Lewandowski;Captain;US Virgin Islands;James Mack;Men's;Player
3;Second;Virgil van Dijk;Captain;US Virgin Islands;James Mack;Men's;Player
1;Third;Kevin De Bruyne;Captain;US Virgin Islands;James Mack;Men's;Player
5;First;Robert Lewandowski;Captain;USA;Tim Ream;Men's;Player
3;Second;Cristiano Ronaldo;Captain;USA;Tim Ream;Men's;Player
1;Third;Kevin De Bruyne;Captain;USA;Tim Ream;Men's;Player
5;First;Lionel Messi;Captain;Uzbekistan;Odil Akhmedov;Men's;Player
3;Second;Mohamed Salah;Captain;Uzbekistan;Odil Akhmedov;Men's;Player
1;Third;Robert Lewandowski;Captain;Uzbekistan;Odil Akhmedov;Men's;Player
5;First;Cristiano Ronaldo;Captain;Vanuatu;Brian Kaltak;Men's;Player
3;Second;Lionel Messi;Captain;Vanuatu;Brian Kaltak;Men's;Player
